id,name,manufacturer,protocol,default_port,default_power_1,default_power_2,default_power_3,warning,table
akk_alpha_10_10w_80ch,AKK Alpha 10 10W 80ch,AKK,smartaudio,UART1,1,2,5,0,"vtxtable bands 8
vtxtable channels 8
vtxtable band 1 BOSCAM_A A FACTORY 5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BOSCAM_B B FACTORY 5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BOSCAM_E E FACTORY 5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 FATSHARK F FACTORY 5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 RACEBAND R FACTORY 5658 5695 5732 5769 5806 5843 5880 5917
vtxtable band 6 CUSTOM_P P FACTORY 5653 5693 5733 5773 5813 5853 5893 5933
vtxtable band 7 CUSTOM_L L FACTORY 5333 5373 5413 5453 5493 5533 5573 5613
vtxtable band 8 CUSTOM_U U FACTORY 5325 5348 5366 5384 5402 5420 5438 5456
vtxtable powerlevels 5
vtxtable powervalues 0 1 2 3 4
vtxtable powerlabels 1W 3W 5W 7W 10W

#W Betaflight 4.5.0+, użyj define NONCOMPLIANT_SMARTAUDIO"
akk_alpha_4_4w_80ch,AKK Alpha 4 4W 80ch,AKK,smartaudio,UART1,1,2,5,0,"vtxtable bands 8
vtxtable channels 8
vtxtable band 1 BOSCAM_A A FACTORY 5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BOSCAM_B B FACTORY 5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BOSCAM_E E FACTORY 5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 FATSHARK F FACTORY 5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 RACEBAND R FACTORY 5658 5695 5732 5769 5806 5843 5880 5917
vtxtable band 6 CUSTOM_P P FACTORY 5653 5693 5733 5773 5813 5853 5893 5933
vtxtable band 7 CUSTOM_L L FACTORY 5333 5373 5413 5453 5493 5533 5573 5613
vtxtable band 8 CUSTOM_U U FACTORY 5325 5348 5366 5384 5402 5420 5438 5456
vtxtable powerlevels 5
vtxtable powervalues 0 1 2 3 4
vtxtable powerlabels 25 1W 2W 3W 4W

#W Betaflight 4.5.0+, użyj define NONCOMPLIANT_SMARTAUDIO"
akk_alpha_5_5w_80ch,AKK Alpha 5 5W 80ch,AKK,smartaudio,UART1,1,2,5,0,"vtxtable bands 8
vtxtable channels 8
vtxtable band 1 BOSCAM_A A FACTORY 5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BOSCAM_B B FACTORY 5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BOSCAM_E E FACTORY 5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 FATSHARK F FACTORY 5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 RACEBAND R FACTORY 5658 5695 5732 5769 5806 5843 5880 5917
vtxtable band 6 CUSTOM_P P FACTORY 5653 5693 5733 5773 5813 5853 5893 5933
vtxtable band 7 CUSTOM_L L FACTORY 5333 5373 5413 5453 5493 5533 5573 5613
vtxtable band 8 CUSTOM_U U FACTORY 5325 5348 5366 5384 5402 5420 5438 5456
vtxtable powerlevels 5
vtxtable powervalues 0 1 2 3 4
vtxtable powerlabels 25 1W 2W 3W 5W

#W Betaflight 4.5.0+, użyj define NONCOMPLIANT_SMARTAUDIO"
akk_alpha_8_8w_80ch,AKK Alpha 8 8W 80ch,AKK,smartaudio,UART1,1,2,5,0,"vtxtable bands 8
vtxtable channels 8
vtxtable band 1 BOSCAM_A A FACTORY 5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BOSCAM_B B FACTORY 5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BOSCAM_E E FACTORY 5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 FATSHARK F FACTORY 5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 RACEBAND R FACTORY 5658 5695 5732 5769 5806 5843 5880 5917
vtxtable band 6 CUSTOM_P P FACTORY 5653 5693 5733 5773 5813 5853 5893 5933
vtxtable band 7 CUSTOM_L L FACTORY 5333 5373 5413 5453 5493 5533 5573 5613
vtxtable band 8 CUSTOM_U U FACTORY 5325 5348 5366 5384 5402 5420 5438 5456
vtxtable powerlevels 5
vtxtable powervalues 0 1 2 3 4
vtxtable powerlabels 25 1W 3W 5W 8W"
akk_fx2_dominator_2w_48ch,AKK FX2 Dominator 2w 48ch,AKK,smartaudio,UART1,1,3,4,0,"vtxtable bands 6
vtxtable channels 8
vtxtable band 1 BOSCAM_A A FACTORY 5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BOSCAM_B B FACTORY 5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BOSCAM_E E FACTORY 5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 FATSHARK F FACTORY 5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 RACEBAND R FACTORY 5658 5695 5732 5769 5806 5843 5880 5917
vtxtable band 6 LOWRACE  L CUSTOM  5362 5399 5436 5473 5510 5547 5584 5621
vtxtable powerlevels 4
vtxtable powervalues 0 1 2 3
vtxtable powerlabels 250 500 1W 2W

#W Betaflight 4.5.0+, użyj define NONCOMPLIANT_SMARTAUDIO"
"akk_fx2_dominator_2w_48ch_(l,x_updated_version)","AKK FX2 Dominator 2w 48ch (L,X updated version)",AKK,smartaudio,UART1,1,3,4,0,"vtxtable bands 6
vtxtable channels 8
vtxtable band 1 BOSCAM_A A FACTORY 5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BOSCAM_B B FACTORY 5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BOSCAM_E E FACTORY 5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 FATSHARK F FACTORY 5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 BAND_L   L FACTORY 5362 5399 5436 5473 5510 5547 5584 5621
vtxtable band 6 BAND_X   X FACTORY 4990 5020 5050 5080 5110 5140 5170 5200
vtxtable powerlevels 4
vtxtable powervalues 0 1 2 3
vtxtable powerlabels 25 500 1W 2W

#W Betaflight 4.5.0+, użyj define NONCOMPLIANT_SMARTAUDIO"
akk_race_ranger_1.6w_48ch,AKK Race Ranger 1.6w 48ch,AKK,smartaudio,UART1,1,3,4,0,"vtxtable bands 6
vtxtable channels 8
vtxtable band 1 BOSCAM_A A FACTORY 5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BOSCAM_B B FACTORY 5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BOSCAM_E E FACTORY 5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 FATSHARK F FACTORY 5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 RACEBAND R FACTORY 5658 5695 5732 5769 5806 5843 5880 5917
vtxtable band 6 LOWRACE  L CUSTOM  5362 5399 5436 5473 5510 5547 5584 5621
vtxtable powerlevels 4
vtxtable powervalues 0 1 2 3
vtxtable powerlabels 200 400 800 1W6

#W Betaflight 4.5.0+, użyj define NONCOMPLIANT_SMARTAUDIO"
"akk_race_ranger_1.6w_48ch_(l,x_updated_version)","AKK Race Ranger 1.6w 48ch (L,X updated version)",AKK,smartaudio,UART1,1,3,4,0,"vtxtable bands 6
vtxtable channels 8
vtxtable band 1 BOSCAM_A A FACTORY 5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BOSCAM_B B FACTORY 5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BOSCAM_E E FACTORY 5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 FATSHARK F FACTORY 5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 BAND_L   L FACTORY 5362 5399 5436 5473 5510 5547 5584 5621
vtxtable band 6 BAND_X   X FACTORY 4990 5020 5050 5080 5110 5140 5170 5200
vtxtable powerlevels 4
vtxtable powervalues 0 1 2 3
vtxtable powerlabels 25 400 800 1W6

#W Betaflight 4.5.0+, użyj define NONCOMPLIANT_SMARTAUDIO"
akk_tx5000ac_5w_96ch,AKK TX5000AC 5W 96ch,AKK,smartaudio,UART1,1,3,6,0,"vtxtable bands 8
vtxtable channels 8
vtxtable band 1 BOSCAM_A A FACTORY 5474 5492 5510 5528 5546 5564 5582 5600
vtxtable band 2 BOSCAM_B B FACTORY 5362 5399 5436 5473 5510 5547 5584 5621
vtxtable band 3 BOSCAM_E E FACTORY 5325 5348 5366 5384 5402 5420 5438 5456
vtxtable band 4 FATSHARK F FACTORY 5129 5159 5189 5219 5249 5279 5309 5339
vtxtable band 5 RACEBAND R FACTORY 4990 5020 5050 5080 5110 5140 5170 5200
vtxtable band 6 CUSTOM_P P FACTORY 5333 5373 5413 5453 5493 5533 5573 5613
vtxtable band 7 CUSTOM_L L FACTORY 4900 4940 4921 4958 4995 5032 5069 5099
vtxtable band 8 CUSTOM_U U FACTORY 5960 5980 6000 6020 6030 6040 6050 6060

vtxtable powerlevels 6
vtxtable powervalues 0 1 2 3 4 5
vtxtable powerlabels 25 250 500 1W 3W 5W

#W Betaflight 4.5.0+, użyj define NONCOMPLIANT_SMARTAUDIO"
akk_tx8000ac_8w_56ch_ac_version,AKK TX8000AC 8w 56ch AC version,AKK,smartaudio,UART1,1,2,5,0,"vtxtable bands 8
vtxtable channels 8
vtxtable band 1 BOSCAM_A A FACTORY 5474 5492 5510 5528 5546 5564 5582 5600
vtxtable band 2 BOSCAM_B B FACTORY 5362 5399 5436 5473 5510 5547 5584 5621
vtxtable band 3 BOSCAM_E E FACTORY 5325 5348 5366 5384 5402 5420 5438 5456
vtxtable band 4 FATSHARK F FACTORY 5129 5159 5189 5219 5249 5279 5309 5339
vtxtable band 5 RACEBAND R FACTORY 4990 5020 5050 5080 5110 5140 5170 5200
vtxtable band 6 CUSTOM_P P FACTORY 5333 5373 5413 5453 5493 5533 5573 5613
vtxtable band 7 CUSTOM_L L FACTORY 4900 4940 4921 4958 4995 5032 5069 5099
vtxtable band 8 CUSTOM_U U FACTORY 5960 5980 6000 6020 6030 6040 6050 6060
vtxtable powerlevels 5
vtxtable powervalues 0 1 2 3 4
vtxtable powerlabels 25 1W 3W 5W 8W
"
akk_ultra_long_range_3w_48ch,AKK Ultra Long Range 3w 48ch,AKK,smartaudio,UART1,1,3,5,0,"vtxtable bands 6
vtxtable channels 8
vtxtable band 1 BOSCAM_A A FACTORY 5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BOSCAM_B B FACTORY 5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BOSCAM_E E FACTORY 5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 FATSHARK F FACTORY 5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 RACEBAND R FACTORY 5658 5695 5732 5769 5806 5843 5880 5917
vtxtable band 6 LOWRACE  L CUSTOM  5362 5399 5436 5473 5510 5547 5584 5621
vtxtable powerlevels 5
vtxtable powervalues 0 1 2 3 4
vtxtable powerlabels 250 500 1W 2W 3W"
akk_ultra_long_range_3w_56ch_ac_version,AKK Ultra Long Range 3w 56ch AC version,AKK,smartaudio,UART1,1,3,6,0,"vtxtable bands 7
vtxtable channels 8
vtxtable band 1 BAND_A   A CUSTOM  5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BAND_B   B CUSTOM  5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BAND_E   E CUSTOM  5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 AIRWAVE  F CUSTOM  5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 RACEBAND R CUSTOM  5658 5695 5732 5769 5806 5843 5880 5917
vtxtable band 6 LOWRACE  L CUSTOM  5362 5399 5436 5473 5510 5547 5584 5621
vtxtable band 7 BAND-X   X CUSTOM  4990 5020 5050 5080 5110 5140 5170 5200
vtxtable powerlevels 6
vtxtable powervalues 0 1 2 3 4 5
vtxtable powerlabels 025 250 500 1W 2W 3W

#W Betaflight 4.5.0+, użyj define NONCOMPLIANT_SMARTAUDIO"
akk_ultra_long_range_3w_96ch_ac_version_v2,AKK Ultra Long Range 3w 96ch AC version V2,AKK,smartaudio,UART1,1,3,6,0,"vtxtable bands 8
vtxtable channels 8
vtxtable band 1 BOSCAM_A A FACTORY 5474 5492 5510 5528 5546 5564 5582 5600
vtxtable band 2 BOSCAM_B B FACTORY 5362 5399 5436 5473 5510 5547 5584 5621
vtxtable band 3 BOSCAM_E E FACTORY 5325 5348 5366 5384 5402 5420 5438 5456
vtxtable band 4 FATSHARK F FACTORY 5129 5159 5189 5219 5249 5279 5309 5339
vtxtable band 5 RACEBAND R FACTORY 4990 5020 5050 5080 5110 5140 5170 5200
vtxtable band 6 CUSTOM_P P FACTORY 5333 5373 5413 5453 5493 5533 5573 5613
vtxtable band 7 CUSTOM_L L FACTORY 4900 4940 4921 4958 4995 5032 5069 5099
vtxtable band 8 CUSTOM_U U FACTORY 5960 5980 6000 6020 6030 6040 6050 6060
vtxtable powerlevels 6
vtxtable powervalues 0 1 2 3 4 5
vtxtable powerlabels 025 250 500 1W 2W 3W"
foxeer_reaper_3.3g_4w_40ch,Foxeer Reaper 3.3G 4W 40CH,Foxeer,tramp,UART1,1,3,5,0,"vtxtable bands 5
vtxtable channels 8
vtxtable band 1 BAND_A   A CUSTOM 3320 3345 3370 3395 3420 3445 3470 3495
vtxtable band 2 BAND_B   B CUSTOM 3310 3330 3355 3380 3405 3430 3455 3480
vtxtable band 3 BAND_C   C CUSTOM 3490 3510 3530 3550 3570 3590 3610 3630
vtxtable band 4 BAND_D   D CUSTOM 3330 3350 3370 3390 3410 3430 3450 3470
vtxtable band 5 BAND_E   E CUSTOM 3170 3190 3210 3230 3250 3270 3290 3310
vtxtable powerlevels 5
vtxtable powervalues 25 100 200 400 600
vtxtable powerlabels 250 500 1W 2W 4W"
foxeer_reaper_extreme_1.8w_72ch,Foxeer Reaper Extreme 1.8W 72Ch,Foxeer,tramp,UART1,1,3,5,0,"vtxtable bands 8
vtxtable channels 8
vtxtable band 1 BOSCAM_A A CUSTOM  5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BOSCAM_B B CUSTOM  5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BOSCAM_E E CUSTOM  5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 BOSCAM_F F CUSTOM  5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 BOSCAM_R R CUSTOM  5658 5695 5732 5769 5806 5843 5880 5917
vtxtable band 6 BOSCAM_H  CUSTOM  5653 5693 5733 5773 5813 5853 5893 5933
vtxtable band 7 BOSCAM_L  CUSTOM  5333 5373 5413 5453 5493 5533 5573 5613
vtxtable band 8 BOSCAM_U  CUSTOM  5325 5348 5366 5384 5402 5420 5438 5456
vtxtable powerlevels 5
vtxtable powervalues 25 100 200 400 600
vtxtable powerlabels 25 200 500 1 1.8"
foxeer_reaper_extreme_2.5w_v1_40ch,Foxeer Reaper Extreme 2.5W v1 40Ch,Foxeer,tramp,UART1,1,3,5,0,"vtxtable bands 5
vtxtable channels 8
vtxtable band 1 BOSCAM_A A CUSTOM  5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BOSCAM_B B CUSTOM  5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BOSCAM_E E CUSTOM  5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 FATSHARK F CUSTOM  5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 RACEBAND R CUSTOM  5658 5695 5732 5769 5806 5843 5880 5917
vtxtable powerlevels 5
vtxtable powervalues 25 100 200 400 600
vtxtable powerlabels 25 200 500 1.5 2.5"
foxeer_reaper_extreme_2.5w_v2_72ch,Foxeer Reaper Extreme 2.5W v2 72Ch,Foxeer,tramp,UART1,1,3,5,0,"vtxtable bands 8
vtxtable channels 8
vtxtable band 1 BAND_A   A CUSTOM  5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BAND_B   B CUSTOM  5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BAND_E   E CUSTOM  5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 BAND_F   F CUSTOM  5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 BAND_R   R CUSTOM  5658 5695 5732 5769 5806 5843 5880 5917
vtxtable band 6 BAND_H     CUSTOM  5653 5693 5733 5773 5813 5853 5893 5933
vtxtable band 7 BAND_L     CUSTOM  5333 5373 5413 5453 5493 5533 5573 5613
vtxtable band 8 BAND_U     CUSTOM  5325 5348 5366 5384 5402 5420 5438 5456
vtxtable powerlevels 5
vtxtable powervalues 25 100 200 400 600
vtxtable powerlabels 25 200 500 1.5 2.5"
foxeer_reaper_extreme_2.5w_v3_80ch_(x-band),Foxeer Reaper Extreme 2.5W v3 80Ch (X-band),Foxeer,tramp,UART1,1,3,5,0,"vtxtable bands 8
vtxtable channels 8
vtxtable band 1 BAND_A   A CUSTOM  5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BAND_B   B CUSTOM  5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BAND_E   E CUSTOM  5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 BAND_F   F CUSTOM  5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 BAND_R   R CUSTOM  5658 5695 5732 5769 5806 5843 5880 5917
vtxtable band 6 BAND_H   H CUSTOM  5653 5693 5733 5773 5813 5853 5893 5933
vtxtable band 7 BAND_L   L CUSTOM  5333 5373 5413 5453 5493 5533 5573 5613
vtxtable band 8 BAND_X   X CUSTOM  4990 5020 5050 5080 5110 5140 5170 5200
vtxtable powerlevels 5
vtxtable powervalues 25 100 200 400 600
vtxtable powerlabels 25 200 500 1.5 2.5"
foxeer_reaper_extreme_3w_72ch,Foxeer Reaper Extreme 3W 72Ch,Foxeer,tramp,UART1,1,3,5,0,"vtxtable bands 8
vtxtable channels 8
vtxtable band 1 BAND_A   A CUSTOM  5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BAND_B   B CUSTOM  5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BAND_E   E CUSTOM  5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 BAND_F   F CUSTOM  5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 BAND_R   R CUSTOM  5658 5695 5732 5769 5806 5843 5880 5917
vtxtable band 6 BAND_H     CUSTOM  5653 5693 5733 5773 5813 5853 5893 5933
vtxtable band 7 BAND_L     CUSTOM  5333 5373 5413 5453 5493 5533 5573 5613
vtxtable band 8 BAND_U     CUSTOM  5325 5348 5366 5384 5402 5420 5438 5456
vtxtable powerlevels 5
vtxtable powervalues 25 100 200 400 600
vtxtable powerlabels 25 200 500 1.5 3"
foxeer_reaper_extreme_3w_v2_80ch,Foxeer Reaper Extreme 3W v2 80Ch,Foxeer,tramp,UART1,1,3,5,0,"vtxtable bands 8
vtxtable channels 8
vtxtable band 1 BAND_A   A CUSTOM 5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BAND_B   B CUSTOM 5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BAND_E   E CUSTOM 5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 BAND_F   F CUSTOM 5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 BAND_R   R CUSTOM 5658 5695 5732 5769 5806 5843 5880 5917
vtxtable band 6 BAND_H   H CUSTOM 5653 5693 5733 5773 5813 5853 5893 5933
vtxtable band 7 BAND_L   L CUSTOM 5333 5373 5413 5453 5493 5533 5573 5613
vtxtable band 8 BAND_X   X CUSTOM 4990 5020 5050 5080 5110 5140 5170 5200
vtxtable powerlevels 5
vtxtable powervalues 25 100 200 400 600
vtxtable powerlabels 25 200 500 1.5 3"
foxeer_reaper_infinity_10w_80ch,Foxeer Reaper Infinity 10W 80Ch,Foxeer,tramp,UART1,1,3,5,0,"vtxtable bands 8
vtxtable channels 8
vtxtable band 1 BAND_A   A CUSTOM 5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BAND_B   B CUSTOM 5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BAND_E   E CUSTOM 5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 BAND_F   F CUSTOM 5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 BAND_R   R CUSTOM 5658 5695 5732 5769 5806 5843 5880 5917
vtxtable band 6 BAND_H   H CUSTOM 5653 5693 5733 5773 5813 5853 5893 5933
vtxtable band 7 BAND_L   L CUSTOM 5333 5373 5413 5453 5493 5533 5573 5613
vtxtable band 8 BAND_X   X CUSTOM 4990 5020 5050 5080 5110 5140 5170 5200
vtxtable powerlevels 5
vtxtable powervalues 25 100 200 400 600
vtxtable powerlabels 500 2.5 5 7.5 10"
foxeer_reaper_infinity_5w_40ch,Foxeer Reaper Infinity 5W 40Ch,Foxeer,tramp,UART1,1,3,5,0,"vtxtable bands 5
vtxtable channels 8
vtxtable band 1 BOSCAM_A A CUSTOM  5865 5845 5825 5805 5785 5765 5745 5725
vtxtable band 2 BOSCAM_B B CUSTOM  5733 5752 5771 5790 5809 5828 5847 5866
vtxtable band 3 BOSCAM_E E CUSTOM  5705 5685 5665 5645 5885 5905 5925 5945
vtxtable band 4 FATSHARK F CUSTOM  5740 5760 5780 5800 5820 5840 5860 5880
vtxtable band 5 RACEBAND R CUSTOM  5658 5695 5732 5769 5806 5843 5880 5917
vtxtable powerlevels 5
vtxtable powervalues 25 100 200 400 600
vtxtable powerlabels 50 500 1W 2.5 5W"
